Semester,week,day,meal,dining_hall,recipe,Ingredient,Category,percent_meat,meat_price_per_dish,Expected_lb_meat_portion,oz_meat_per_dish,Conventional_price_lb,Sustainable_price_lb,Default_sus,portion_size_oz,planned_portions,planned_weight_lbs,cost_recipe_per_portion
SP26,4,Wednesday,Lunch,CKC,Beef Bulgogi Sauteed,Beef Sirloin Stir-Fry Cut,Beef,0.87,1.67,0.2,3.2,8.35,,No,3.68,400,91.93,
SP26,3,Friday,Dinner,CKC,Cod Lemon Butter Baked,Cod Fillet,Fish,0.78,1.87,0.25,4,7.48,,No,5.11,400,127.87,
SP26,4,Tuesday,Lunch,CKC,Pork Carnitas,Pork Carnitas Precooked,Pork,0.75,1.15,0.2,3.2,5.75,,No,4.26,400,106.48,
F25,4,Tuesday,Lunch,CKC,Pork Carnitas,Pork Carnitas Precooked,Pork,0.75,1.15,0.2,3.2,5.75,,No,4.26,400,106.48,1.3
SP26,2,Monday,Lunch,CKC,Chicken Breast Parmesan Baked,Chicken Breast B/S Raw 4 oz,Chicken,0.46,0.99,0.2,3.2,4.94,6.93,No,6.9,400,172.55,
F25,2,Wednesday,Lunch,CKC,Pozole Pork,Pork Stew Cut,Pork,0.21,0.73,0.16,2.49,4.69,4.62,No,12.11,400,302.71,1.18
SP26,4,Thursday,Dinner,CKC,Chicken Breast Coconut Curry Thai Sauteed HALAL,Chicken Breast Fajita Cut HALAL,Chicken,0.49,0.64,0.2,3.2,3.19,,No,6.56,400,164.12,
SP26,1,Tuesday,Dinner,CKC,Chicken Thigh Fajita Sauteed HALAL,Chicken Thigh Boneless HALAL,Chicken,0.7,0.4,0.2,3.2,1.98,,No,4.57,400,114.37,
SP26,2,Thursday,Lunch,CKC,Chicken Thigh Tandoori Baked HALAL,Chicken Thigh Bone In HALAL,Chicken,0.87,0.35,0.25,3.97,1.41,,No,4.55,400,113.65,
F25,2,Thursday,Lunch,CKC,Chicken Thigh Tandoori Baked HALAL,Chicken Thigh Bone In HALAL,Chicken,0.87,0.35,0.25,3.97,1.41,,No,4.55,400,113.65,2.17
